field,type,num_of_bytes,bytes_per_data_point,representation,description
$TWCDAT01,text,9,"this is the identifier for the start of the TWCDAT01 TCP packet"
utc_time,>unsigned_int,10,"the valid time for this packet (usually 1 second behind actual time)"
ptp_sync,boolean,1,"indication of whether the CRIO is successfully synchronised to PTP time ( 1 = synced, 0 = not-synced )"
crio_temp,>unsigned_int,3,"the internal hardware temperature of the CRIO"
flight_num,text,5,"indicates the flight number for this packet ( an ""empty"" string here indicates that the CRIO hasn't been assigned a flight number )"
crio_fpga_run,boolean,1,"indicates whether the FPGA code is running ( a value toggling e.g. 1-0-1-0…etc shows running code, fixed value = non running )"
crio_rtc_run,boolean,1,"indicates whether the realtime code is running ( a value toggling e.g. 1-0-1-0…etc shows running code, fixed value = non running )"
crio_UDP_num,>unsigned_int,6,"this number starts @ zero and increments with each UDP packet - used for verification of packet stream"
crio_mem_used,text,3,"a string to represent the percentage of CRIO hard disk currently used"
status,text,8,"Status word 8 bits"
twc_detector,>single_float,6,"twc detector counts"
twc_nose_temp,>single_float,6,"nose temp"
twc_samp_temp,>single_float,6,"sample temp"
twc_amb_temp,>single_float,6,"twc ambient temp"
twc_srce_temp,>single_float,6,"twc source temp"
twc_evap1,>single_float,6,"evap 1 current"
twc_evap2,>single_float,6,"evap 2 current"
twc_srce_i,>single_float,6,"source current"
twc_evap2_on,>single_float,6,"evap 2 on signal"

